SerialNum, Co2, Humid, Pm10, Pm5, Temp, Vocs, timeZone, ReportTime, Lat, Long
24:0A:C4:22:41:26,422,45.7,15,14,34.9,4,GMT+09:00,20220719200126 ,37.5634528,127.0488711
24:0A:C4:22:41:26,422,45.6,15,14,34.9,4,GMT+09:00,20220719200127 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.7,15,15,34.9,3,GMT+09:00,20220719200128 ,37.5634528,127.0488711
24:0A:C4:22:41:26,418,45.7,15,14,34.9,3,GMT+09:00,20220719200129 ,37.5634528,127.0488711
24:0A:C4:22:41:26,422,45.7,14,14,34.9,4,GMT+09:00,20220719200130 ,37.5634528,127.0488711
24:0A:C4:22:41:26,422,45.7,15,14,34.9,4,GMT+09:00,20220719200131 ,37.5634528,127.0488711
24:0A:C4:22:41:26,422,45.7,15,14,34.9,4,GMT+09:00,20220719200132 ,37.5638348,127.0481155
24:0A:C4:22:41:26,422,45.7,15,14,34.9,4,GMT+09:00,20220719200133 ,37.5638348,127.0481155
24:0A:C4:22:41:26,426,45.7,15,14,34.9,4,GMT+09:00,20220719200134 ,37.5638348,127.0481155
24:0A:C4:22:41:26,422,45.7,16,15,34.9,4,GMT+09:00,20220719200135 ,37.5638348,127.0481155
24:0A:C4:22:41:26,422,45.7,16,15,34.9,4,GMT+09:00,20220719200136 ,37.5638348,127.0481155
24:0A:C4:22:41:26,426,45.7,16,15,34.9,4,GMT+09:00,20220719200137 ,37.5638348,127.0481155
24:0A:C4:22:41:26,426,45.7,15,15,34.9,4,GMT+09:00,20220719200138 ,37.5638348,127.0481155
24:0A:C4:22:41:26,434,45.7,15,14,34.9,6,GMT+09:00,20220719200139 ,37.5638348,127.0481155
24:0A:C4:22:41:26,426,45.8,16,14,34.9,4,GMT+09:00,20220719200140 ,37.5638348,127.0481155
24:0A:C4:22:41:26,428,45.8,16,14,34.9,5,GMT+09:00,20220719200141 ,37.5638348,127.0481155
24:0A:C4:22:41:26,434,45.8,15,14,34.9,6,GMT+09:00,20220719200142 ,37.5638348,127.0481155
24:0A:C4:22:41:26,426,45.8,16,14,34.9,4,GMT+09:00,20220719200143 ,37.5638348,127.0481155
24:0A:C4:22:41:26,434,45.8,16,14,35,6,GMT+09:00,20220719200144 ,37.5638348,127.0481155
24:0A:C4:22:41:26,447,45.8,16,15,34.9,8,GMT+09:00,20220719200145 ,37.5638348,127.0481155
24:0A:C4:22:41:26,428,45.8,16,15,34.9,5,GMT+09:00,20220719200146 ,37.5638171,127.0481271
24:0A:C4:22:41:26,444,45.8,15,14,34.9,7,GMT+09:00,20220719200147 ,37.5638171,127.0481271
24:0A:C4:22:41:26,434,45.8,16,15,34.9,6,GMT+09:00,20220719200148 ,37.5638171,127.0481271
24:0A:C4:22:41:26,434,45.8,15,14,34.9,6,GMT+09:00,20220719200149 ,37.5638171,127.0481271
24:0A:C4:22:41:26,447,45.8,16,15,34.9,8,GMT+09:00,20220719200150 ,37.5638171,127.0481271
24:0A:C4:22:41:26,434,45.8,16,15,35,6,GMT+09:00,20220719200151 ,37.5638171,127.0481271
24:0A:C4:22:41:26,434,45.8,16,15,35,6,GMT+09:00,20220719200152 ,37.5638171,127.0481271
24:0A:C4:22:41:26,434,45.8,15,14,35,6,GMT+09:00,20220719200153 ,37.5638171,127.0481271
24:0A:C4:22:41:26,434,45.8,15,14,34.9,6,GMT+09:00,20220719200154 ,37.5638171,127.0481271
24:0A:C4:22:41:26,439,45.8,15,14,35,6,GMT+09:00,20220719200155 ,37.5638171,127.0481271
24:0A:C4:22:41:26,434,45.7,15,14,34.9,6,GMT+09:00,20220719200156 ,37.5637783,127.0480837
24:0A:C4:22:41:26,439,45.7,15,14,35,6,GMT+09:00,20220719200157 ,37.5637783,127.0480837
24:0A:C4:22:41:26,434,45.8,14,14,35,6,GMT+09:00,20220719200158 ,37.5637783,127.0480837
24:0A:C4:22:41:26,434,45.8,15,14,34.9,6,GMT+09:00,20220719200159 ,37.5637783,127.0480837
24:0A:C4:22:41:26,444,45.7,15,14,34.9,7,GMT+09:00,20220719200200 ,37.5637783,127.0480837
24:0A:C4:22:41:26,439,45.7,16,15,35,6,GMT+09:00,20220719200201 ,37.5637783,127.0480837
24:0A:C4:22:41:26,434,45.7,16,15,35,6,GMT+09:00,20220719200202 ,37.5637783,127.0480837
24:0A:C4:22:41:26,439,45.8,15,15,34.9,6,GMT+09:00,20220719200203 ,37.5637783,127.0480837
24:0A:C4:22:41:26,439,45.7,15,15,35,6,GMT+09:00,20220719200204 ,37.5637783,127.0480837
24:0A:C4:22:41:26,439,45.8,14,14,35,6,GMT+09:00,20220719200205 ,37.5637783,127.0480837
24:0A:C4:22:41:26,439,45.7,15,15,35,6,GMT+09:00,20220719200206 ,37.5637783,127.0480837
24:0A:C4:22:41:26,444,45.7,15,15,34.9,7,GMT+09:00,20220719200207 ,37.5637783,127.0480837
24:0A:C4:22:41:26,439,45.7,15,15,35,6,GMT+09:00,20220719200208 ,37.5637783,127.0480837
24:0A:C4:22:41:26,439,45.8,15,15,35,6,GMT+09:00,20220719200209 ,37.5637783,127.0480837
24:0A:C4:22:41:26,444,45.8,15,15,34.9,7,GMT+09:00,20220719200210 ,37.5637783,127.0480837
24:0A:C4:22:41:26,444,45.8,15,15,35,7,GMT+09:00,20220719200211 ,37.5637783,127.0480837
24:0A:C4:22:41:26,444,45.7,15,15,35,7,GMT+09:00,20220719200212 ,37.5637783,127.0480837
24:0A:C4:22:41:26,447,45.7,16,15,35,8,GMT+09:00,20220719200213 ,37.5637783,127.0480837
24:0A:C4:22:41:26,447,45.7,16,15,35,8,GMT+09:00,20220719200214 ,37.5637783,127.0480837
24:0A:C4:22:41:26,447,45.8,16,16,35,8,GMT+09:00,20220719200215 ,37.5637783,127.0480837
24:0A:C4:22:41:26,447,45.7,17,16,35,8,GMT+09:00,20220719200216 ,37.5637783,127.0480837
